@relation file_syncope/training_syncope_14
@attribute size numeric
@attribute commit_number numeric
@attribute loc_touched numeric
@attribute loc_added numeric
@attribute max_loc_added numeric
@attribute avg_loc_added numeric
@attribute churn numeric
@attribute max_churn numeric
@attribute avg_churn numeric
@attribute auth_number numeric
@attribute class {true, false}

@data
506,1,506,506,506,506,506,506,506,1,false
121,1,121,121,121,121,121,121,121,1,false
96,1,96,96,96,96,96,96,96,1,false
59,1,59,59,59,59,59,59,59,1,false
856,1,856,856,856,856,856,856,856,1,false
301,3,333,311,239,239,301,239,100,3,false
114,1,114,114,114,114,114,114,114,1,false
112,1,112,112,112,112,112,112,112,1,false
235,1,235,235,235,235,235,235,235,1,false
208,3,231,217,179,179,208,179,69,2,false
483,1,483,483,483,483,483,483,483,1,false
216,2,232,224,216,216,216,216,108,2,false
138,1,138,138,138,138,138,138,138,1,false
62,1,62,62,62,62,62,62,62,1,false
154,2,156,154,154,154,154,154,77,2,false
114,1,114,114,114,114,114,114,114,1,false
45,2,46,45,45,45,45,45,22,2,false
82,1,82,82,82,82,82,82,82,1,false
268,3,320,289,221,221,272,221,90,2,false
176,1,176,176,176,176,176,176,176,1,false
37,1,37,37,37,37,37,37,37,1,false
237,2,249,241,224,224,237,224,118,2,false
334,1,334,334,334,334,334,334,334,1,false
263,2,279,263,263,263,263,263,131,2,false
249,3,264,252,234,234,249,234,83,3,false
305,3,329,313,309,309,321,309,107,2,false
235,2,245,236,219,219,235,219,117,2,false
527,5,610,560,553,553,593,553,118,3,false
195,1,195,195,195,195,195,195,195,1,false
70,2,100,85,64,64,70,64,35,2,false
555,4,625,576,537,537,555,537,138,2,false
110,1,110,110,110,110,110,110,110,1,false
194,1,194,194,194,194,194,194,194,1,false
140,1,140,140,140,140,140,140,140,1,false
100,1,100,100,100,100,100,100,100,1,false
187,1,187,187,187,187,187,187,187,1,false
274,2,283,274,262,262,274,262,137,2,false
174,1,174,174,174,174,174,174,174,1,false
295,2,331,308,282,282,295,282,147,2,false
107,1,107,107,107,107,107,107,107,1,false
357,1,357,357,357,357,357,357,357,1,false
609,2,635,615,600,600,609,600,304,2,false
185,1,185,185,185,185,185,185,185,1,false
34,2,44,39,39,39,44,39,22,2,false
48,2,51,48,44,44,48,44,24,2,false
72,2,77,72,66,66,72,66,36,2,false
201,4,220,202,180,180,201,180,50,2,false
50,2,52,50,48,48,50,48,25,2,false
31,1,31,31,31,31,31,31,31,1,false
31,1,31,31,31,31,31,31,31,1,false
80,2,86,80,73,73,80,73,40,2,false
72,3,96,73,64,64,72,64,24,2,false
191,2,209,191,181,181,191,181,95,2,false
111,3,126,112,102,102,111,102,37,2,false
72,2,78,72,68,68,72,68,36,2,false
104,2,110,104,92,92,104,92,52,2,false
306,2,342,306,300,300,306,300,153,2,false
193,3,223,193,178,178,193,178,64,2,false
60,3,68,60,54,54,60,54,20,2,false
167,2,188,167,157,157,167,157,83,2,false
39,2,45,39,37,37,39,37,19,2,false
