"CSVFile.Version","File","Size","Commit number","Loc touched","Loc added","Max loc added","Avg loc added","Churn","Max churn","Avg churn","Authors numbers","buggy"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/SchemaTO.java","134","2","134","134","124","124","134","124","67","2","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/SyncPolicyTO.java","49","1","49","49","49","49","49","49","49","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/SyncTaskTO.java","104","1","104","104","104","104","104","104","104","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/TaskExecTO.java","34","1","34","34","34","34","34","34","34","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/TaskTO.java","101","2","101","101","72","72","101","72","50","2","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/UserRequestTO.java","84","1","84","84","84","84","84","84","84","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/UserTO.java","213","1","213","213","213","213","213","213","213","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/VirtualSchemaTO.java","34","1","34","34","34","34","34","34","34","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/WorkflowDefinitionTO.java","46","1","46","46","46","46","46","46","46","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/WorkflowFormPropertyTO.java","133","1","133","133","133","133","133","133","133","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/WorkflowFormTO.java","151","1","151","151","151","151","151","151","151","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/util/AttributableOperations.java","399","2","412","399","370","370","399","370","199","2","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/util/XMLSerializer.java","63","1","63","63","63","63","63","63","63","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/validation/SyncopeClientCompositeErrorException.java","96","1","96","96","96","96","96","96","96","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/validation/SyncopeClientErrorHandler.java","93","1","93","93","93","93","93","93","93","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/validation/SyncopeClientException.java","75","1","75","75","75","75","75","75","75","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/AbstractPolicySpec.java","29","1","29","29","29","29","29","29","29","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/AccountPolicySpec.java","175","1","175","175","175","175","175","175","175","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/AttributableType.java","27","1","27","27","27","27","27","27","27","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/AuditElements.java","244","1","244","244","244","244","244","244","244","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/AuditLoggerName.java","98","2","104","101","98","98","98","98","49","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/CipherAlgorithm.java","37","1","37","37","37","37","37","37","37","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/ConflictResolutionAction.java","31","1","31","31","31","31","31","31","31","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/ConnConfPropSchema.java","107","2","107","107","97","97","107","97","53","2","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/ConnConfProperty.java","66","1","66","66","66","66","66","66","66","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/ConnParameterType.java","37","1","37","37","37","37","37","37","37","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/ConnectorCapability.java","35","1","35","35","35","35","35","35","35","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/EntityViolationType.java","69","1","69","69","69","69","69","69","69","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/IntMappingType.java","172","2","175","172","158","158","172","158","86","2","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/PasswordPolicySpec.java","353","1","353","353","353","353","353","353","353","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/PolicyType.java","49","1","49","49","49","49","49","49","49","1","false"
