"Dataset","#trainingReleases","%training","%defectiveTraining","%defectiveTesting","classifier","balancing","featureSelection","sensitivity","TP","FP","TN","FN","precision","recall","AUC","kappa"
"SYNCOPE","2","66.53","0.0","0.0","Random Forest","Undersampling","No selection","Sensitive threshold","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","Random Forest","Undersampling","No selection","Sensitive learning","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","Random Forest","Undersampling","No selection","No cost sensitive","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","Random Forest","Oversampling","Best First","Sensitive threshold","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","Random Forest","Oversampling","Best First","Sensitive learning","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","Random Forest","Oversampling","Best First","No cost sensitive","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","Random Forest","Oversampling","No selection","Sensitive threshold","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","Random Forest","Oversampling","No selection","Sensitive learning","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","Random Forest","Oversampling","No selection","No cost sensitive","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","Naive Bayes","No sampling","Best First","Sensitive threshold","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","Naive Bayes","No sampling","Best First","Sensitive learning","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","Naive Bayes","No sampling","Best First","No cost sensitive","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","Naive Bayes","No sampling","No selection","Sensitive threshold","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
