"Dataset","#trainingReleases","%training","%defectiveTraining","%defectiveTesting","classifier","balancing","featureSelection","sensitivity","TP","FP","TN","FN","precision","recall","AUC","kappa"
"BOOKKEEPER","1","44.47","0.0","21.27","Naive Bayes","Oversampling","Best First","Sensitive learning","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Naive Bayes","Oversampling","Best First","No cost sensitive","1.0","1.0","0.0","0.0","0.786364","1.0","0.283606","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Naive Bayes","Oversampling","No selection","Sensitive threshold","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Naive Bayes","Oversampling","No selection","Sensitive learning","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","Naive Bayes","Oversampling","No selection","No cost sensitive","0.99422","1.0","0.0","0.00578","0.785388","0.99422","0.421965","-0.008981"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","No sampling","Best First","Sensitive threshold","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","No sampling","Best First","Sensitive learning","1.0","1.0","0.0","0.0","0.786364","1.0","0.557803","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","No sampling","Best First","No cost sensitive","1.0","1.0","0.0","0.0","0.786364","1.0","0.658714","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","No sampling","No selection","Sensitive threshold","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","No sampling","No selection","Sensitive learning","1.0","1.0","0.0","0.0","0.786364","1.0","0.557803","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","No sampling","No selection","No cost sensitive","1.0","1.0","0.0","0.0","0.786364","1.0","0.557803","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","Undersampling","Best First","Sensitive threshold","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","Undersampling","Best First","Sensitive learning","1.0","1.0","0.0","0.0","0.786364","1.0","0.557803","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","Undersampling","Best First","No cost sensitive","1.0","1.0","0.0","0.0","0.786364","1.0","0.658714","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","Undersampling","No selection","Sensitive threshold","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","Undersampling","No selection","Sensitive learning","1.0","1.0","0.0","0.0","0.786364","1.0","0.557803","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","Undersampling","No selection","No cost sensitive","1.0","1.0","0.0","0.0","0.786364","1.0","0.557803","0.0"
"BOOKKEEPER","1","44.47","0.0","21.27","IBk","Oversampling","Best First","Sensitive threshold","1.0","1.0","0.0","0.0","0.786364","1.0","0.5","0.0"
