@relation file_bookkeeper/training_bookkeeper_4
@attribute size numeric
@attribute commit_number numeric
@attribute loc_touched numeric
@attribute loc_added numeric
@attribute max_loc_added numeric
@attribute avg_loc_added numeric
@attribute churn numeric
@attribute max_churn numeric
@attribute avg_churn numeric
@attribute auth_number numeric
@attribute class {true, false}

@data
196,6,225,197,178,178,196,178,32,3,true
67,4,76,67,67,67,67,67,16,3,false
165,4,182,165,138,138,165,138,41,3,false
173,4,193,173,170,170,173,170,43,3,true
87,2,88,87,87,87,87,87,43,2,true
85,2,86,85,85,85,85,85,42,2,false
181,7,207,185,178,178,189,178,27,3,true
154,4,162,154,75,75,154,75,38,3,true
393,11,529,433,209,209,399,209,36,3,false
132,3,139,132,75,75,132,75,44,3,false
533,8,561,538,521,521,535,521,66,3,false
603,9,705,625,573,573,607,573,67,3,true
148,1,148,148,148,148,148,148,148,1,false
174,3,184,174,173,173,174,173,58,2,false
148,3,158,148,147,147,148,147,49,2,false
92,6,1511,769,763,763,1442,763,240,3,false
234,6,479,275,209,209,234,209,39,3,true
54,3,59,54,54,54,54,54,18,3,false
38,2,43,38,38,38,38,38,19,2,false
98,2,102,98,98,98,98,98,49,2,false
39,3,49,39,38,38,39,38,13,2,false
69,3,123,94,94,94,119,94,39,3,false
103,6,133,109,101,101,107,101,17,2,true
6367,2,16712,10857,6095,6095,6367,6095,3183,2,true
728,6,1085,882,714,714,882,714,147,2,false
78,1,78,78,78,78,78,78,78,1,false
72,1,72,72,72,72,72,72,72,1,false
42,1,42,42,42,42,42,42,42,1,false
369,1,369,369,369,369,369,369,369,1,false
105,2,106,105,61,61,105,61,52,1,false
216,4,224,216,216,216,216,216,54,2,true
377,4,397,377,377,377,377,377,94,2,true
253,2,255,253,251,251,253,251,126,1,false
193,1,193,193,193,193,193,193,193,1,true
514,1,514,514,514,514,514,514,514,1,true
204,1,204,204,204,204,204,204,204,1,false
144,1,144,144,144,144,144,144,144,1,true
98,1,98,98,98,98,98,98,98,1,false
94,1,94,94,94,94,94,94,94,1,false
137,4,303,205,137,137,139,137,34,2,false
612,7,783,262,260,260,630,252,90,3,true
48,3,56,48,48,48,48,48,16,2,false
63,2,67,63,63,63,63,63,31,2,false
555,5,297,82,237,237,555,284,111,3,false
269,4,139,3,133,133,269,136,67,3,true
278,5,150,4,136,136,278,141,55,3,true
367,4,181,13,176,176,367,190,91,3,true
46,2,47,46,46,46,46,46,23,2,false
293,6,137,37,127,127,293,165,48,3,false
311,4,152,13,148,148,311,162,77,3,false
58,2,59,58,58,58,58,58,29,2,false
297,3,152,1,149,149,297,149,99,3,true
74,2,78,74,74,74,74,74,37,2,false
37,1,37,37,37,37,37,37,37,1,false
38,2,40,38,38,38,38,38,19,2,false
