"CSVFile.Version","File","Size","Commit number","Loc touched","Loc added","Max loc added","Avg loc added","Churn","Max churn","Avg churn","Authors numbers","buggy"
"4.0.0","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java","137","4","303","205","137","137","139","137","34","2","false"
"4.0.0","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java","244","5","352","256","252","252","262","252","52","2","false"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java","48","3","56","48","48","48","48","48","16","2","false"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java","63","2","67","63","63","63","63","63","31","2","false"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java","237","2","257","237","237","237","237","237","118","2","false"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java","133","3","139","133","133","133","133","133","44","2","false"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java","137","4","150","137","136","136","137","136","34","2","false"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java","177","3","181","177","176","176","177","176","59","2","false"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java","46","2","47","46","46","46","46","46","23","2","false"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java","128","5","137","128","127","127","128","127","25","3","false"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java","149","3","152","149","148","148","149","148","49","2","false"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java","58","2","59","58","58","58","58","58","29","2","false"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java","149","2","152","149","149","149","149","149","74","2","false"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java","74","2","78","74","74","74","74","74","37","2","false"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java","37","1","37","37","37","37","37","37","37","1","false"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java","38","2","40","38","38","38","38","38","19","2","false"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java","39","2","40","39","39","39","39","39","19","2","false"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java","96","4","107","96","95","95","96","95","24","2","false"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java","88","3","91","88","87","87","88","87","29","2","false"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java","71","4","78","71","70","70","71","70","17","2","false"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java","114","4","123","114","113","113","114","113","28","2","false"
