"CSVFile.Version","File","Size","Commit number","Loc touched","Loc added","Max loc added","Avg loc added","Churn","Max churn","Avg churn","Authors numbers","buggy"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java","105","3","159","109","104","104","105","104","35","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java","105","5","148","105","103","103","105","103","21","3","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java","92","4","129","95","91","91","92","91","23","3","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java","101","3","151","101","100","100","101","100","33","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java","45","1","45","45","45","45","45","45","45","1","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java","289","2","290","289","289","289","289","289","144","2","true"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java","32","2","35","32","31","31","32","31","16","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java","111","1","111","111","111","111","111","111","111","1","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java","35","2","36","35","35","35","35","35","17","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java","81","1","81","81","81","81","81","81","81","1","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java","27","1","27","27","27","27","27","27","27","1","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java","28","1","28","28","28","28","28","28","28","1","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java","29","2","30","29","29","29","29","29","14","2","true"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java","566","4","600","566","561","561","566","561","141","3","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java","64","2","80","64","64","64","64","64","32","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java","29","2","30","29","29","29","29","29","14","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java","64","2","65","64","64","64","64","64","32","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java","37","2","40","37","37","37","37","37","18","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java","68","2","79","68","68","68","68","68","34","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java","154","3","165","154","153","153","154","153","51","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java","72","2","73","72","72","72","72","72","36","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java","385","6","400","385","364","364","385","364","64","3","true"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java","76","2","78","76","76","76","76","76","38","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java","159","3","163","159","158","158","159","158","53","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java","737","3","886","737","736","736","737","736","245","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java","74","2","76","74","74","74","74","74","37","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java","94","3","97","94","93","93","94","93","31","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java","22","1","22","22","22","22","22","22","22","1","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java","427","3","439","427","426","426","427","426","142","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java","62","1","62","62","62","62","62","62","62","1","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java","58","2","59","58","58","58","58","58","29","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java","91","2","96","91","91","91","91","91","45","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java","27","2","28","27","27","27","27","27","13","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java","77","2","79","77","77","77","77","77","38","2","false"
